,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago
718,26.0,M,Berlin,BackEnd_Developer,5.0,Senior,62500.0,60000.0,52000.0
721,35.0,M,Berlin,BackEnd_Developer,12.0,Senior,70000.0,65000.0,60000.0
725,34.0,M,Berlin,BackEnd_Developer,3.0,Middle,52000.0,47000.0,39000.0
726,,F,München,BackEnd_Developer,8.0,Middle,40000.0,40000.0,38000.0
729,38.0,M,Berlin,BackEnd_Developer,18.0,Senior,68000.0,65000.0,60000.0
730,31.0,M,München,BackEnd_Developer,6.0,Middle,65000.0,63000.0,58000.0
732,32.0,M,Berlin,BackEnd_Developer,9.0,Senior,71500.0,68000.0,60000.0
735,40.0,M,München,BackEnd_Developer,12.0,Senior,50000.0,50000.0,41000.0
746,51.0,M,Oberhausen,BackEnd_Developer,25.0,Senior,78000.0,76500.0,75000.0
756,52.0,M,Köln,BackEnd_Developer,30.0,Middle,63000.0,80000.0,80000.0
760,40.0,M,Köln,BackEnd_Developer,1.0,Junior,44000.0,40000.0,40000.0
761,,M,Köln,BackEnd_Developer,1.0,Junior,45000.0,40000.0,40000.0
762,,M,Köln,BackEnd_Developer,1.0,Junior,45000.0,40000.0,40000.0
